City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,hithadhoo,-0.6,73.0833,300.97,75,26,2.7,MV,1680300203
129,sao filipe,14.8961,-24.4956,297.52,70,6,3.41,CV,1680300204
130,fortuna,40.5982,-124.1573,286.47,52,100,5.45,US,1680300204
131,ust-karsk,52.7011,118.8077,273.79,81,98,3.19,RU,1680300205
132,awbari,26.5921,12.7805,291.08,13,0,2.2,LY,1680300205
133,kaeo,-35.1,173.7833,291.7,96,100,3.1,NZ,1680300205
134,tazovskiy,67.4667,78.7,264.78,87,100,11.16,RU,1680300205
135,laguna,38.421,-121.4238,290.61,52,75,4.63,US,1680300206
136,kruisfontein,-34.0033,24.7314,285.31,85,0,1.73,ZA,1680300206
137,butaritari,3.0707,172.7902,300.3,79,100,3.02,KI,1680300207
138,meulaboh,4.1363,96.1285,297.45,90,97,1.35,ID,1680300207
139,zhezkazgan,47.8043,67.7144,273.51,45,37,7.7,KZ,1680300207
140,tukrah,32.5341,20.5791,286.52,62,0,2.89,LY,1680300207
141,ilo,-17.6394,-71.3375,298.63,65,0,5.66,PE,1680300207
142,avera,33.194,-82.5271,299.57,53,98,4.07,US,1680300207
143,cidreira,-30.1811,-50.2056,297.03,84,70,3.71,BR,1680300207
144,koeru,58.9631,26.0308,272.48,97,100,5.02,EE,1680300207
145,huilong,31.8111,121.655,285.33,65,99,2.12,CN,1680300208
146,khandyga,62.6667,135.6,265.38,96,100,2.21,RU,1680300208
147,peniche,39.3558,-9.3811,288.21,88,100,3.34,PT,1680300208
148,port lincoln,-34.7333,135.8667,288.16,61,91,5.48,AU,1680300209
149,santiago del estero,-27.7951,-64.2615,291.74,84,100,6.39,AR,1680300154
150,atuona,-9.8,-139.0333,299.8,79,12,4.73,PF,1680300209
151,bambous virieux,-20.3428,57.7575,299.38,89,40,3.09,MU,1680300209
152,kotido,2.9806,34.1331,295.51,68,34,5.38,UG,1680300209
153,bluff,-46.6,168.3333,286.37,88,94,2.65,NZ,1680300073
154,maragogi,-9.0122,-35.2225,298.37,75,5,1.52,BR,1680300210
155,paamiut,61.994,-49.6678,268.36,53,83,1.96,GL,1680300210
156,santa cruz,-17.8,-63.1667,305.18,55,75,4.12,BO,1680300027
